9. Palindrome Number
14. Longest Common Prefix
20. Valid Parentheses
26. Remove Duplicates from Sorted Array
27. Remove Element
28. Find the Index of the First Occurrence in a String
58. Length of Last Word
66. Plus One
125. Valid Palindrome
206. Reverse Linked List
